trial,token_set,accepted,cert_trigger,witness_size,equal_updates
405,EMPTY,0,bot,0,1
406,t_h1,1,sup_h1,1,1
407,"t_h0,t_h1",1,sup_h0,1,1
408,EMPTY,0,bot,0,1
409,EMPTY,0,bot,0,1
410,EMPTY,0,bot,0,1
411,"t_h0,t_h1",1,sup_h0,1,1
412,t_h0,1,sup_h0,1,1
413,"t_h0,t_h1",1,sup_h0,1,1
414,t_h1,1,sup_h1,1,1
415,t_h0,1,sup_h0,1,1
416,"t_h0,t_h1",1,sup_h0,1,1
417,t_h1,1,sup_h1,1,1
418,t_h0,1,sup_h0,1,1
419,t_h0,1,sup_h0,1,1
420,"t_h0,t_h1",1,sup_h0,1,1
421,t_h1,1,sup_h1,1,1
422,"t_h0,t_h1",1,sup_h0,1,1
423,"t_h0,t_h1",1,sup_h0,1,1
424,t_h0,1,sup_h0,1,1
425,"t_h0,t_h1",1,sup_h0,1,1
426,"t_h0,t_h1",1,sup_h0,1,1
427,t_h1,1,sup_h1,1,1
428,t_h1,1,sup_h1,1,1
429,EMPTY,0,bot,0,1
430,EMPTY,0,bot,0,1
431,t_h0,1,sup_h0,1,1
432,"t_h0,t_h1",1,sup_h0,1,1
433,EMPTY,0,bot,0,1
434,t_h0,1,sup_h0,1,1
435,EMPTY,0,bot,0,1
436,t_h1,1,sup_h1,1,1
437,t_h0,1,sup_h0,1,1
438,"t_h0,t_h1",1,sup_h0,1,1
439,t_h1,1,sup_h1,1,1
440,EMPTY,0,bot,0,1
441,t_h1,1,sup_h1,1,1
442,t_h1,1,sup_h1,1,1
443,t_h1,1,sup_h1,1,1
444,t_h1,1,sup_h1,1,1
445,"t_h0,t_h1",1,sup_h0,1,1
446,t_h1,1,sup_h1,1,1
447,t_h0,1,sup_h0,1,1
448,t_h1,1,sup_h1,1,1
449,t_h0,1,sup_h0,1,1
450,EMPTY,0,bot,0,1
451,"t_h0,t_h1",1,sup_h0,1,1
452,EMPTY,0,bot,0,1
453,"t_h0,t_h1",1,sup_h0,1,1
454,t_h0,1,sup_h0,1,1
455,t_h1,1,sup_h1,1,1
456,t_h1,1,sup_h1,1,1
457,"t_h0,t_h1",1,sup_h0,1,1
458,"t_h0,t_h1",1,sup_h0,1,1
459,EMPTY,0,bot,0,1
460,EMPTY,0,bot,0,1
461,EMPTY,0,bot,0,1
462,t_h1,1,sup_h1,1,1
463,t_h1,1,sup_h1,1,1
464,"t_h0,t_h1",1,sup_h0,1,1
465,t_h0,1,sup_h0,1,1
466,t_h0,1,sup_h0,1,1
467,t_h0,1,sup_h0,1,1
468,t_h0,1,sup_h0,1,1
469,"t_h0,t_h1",1,sup_h0,1,1
470,"t_h0,t_h1",1,sup_h0,1,1
471,"t_h0,t_h1",1,sup_h0,1,1
472,t_h0,1,sup_h0,1,1
473,t_h0,1,sup_h0,1,1
474,t_h0,1,sup_h0,1,1
475,EMPTY,0,bot,0,1
476,t_h1,1,sup_h1,1,1
477,EMPTY,0,bot,0,1
478,t_h1,1,sup_h1,1,1
479,t_h0,1,sup_h0,1,1
480,"t_h0,t_h1",1,sup_h0,1,1
481,t_h1,1,sup_h1,1,1
482,t_h0,1,sup_h0,1,1
483,"t_h0,t_h1",1,sup_h0,1,1
484,"t_h0,t_h1",1,sup_h0,1,1
485,t_h0,1,sup_h0,1,1
486,"t_h0,t_h1",1,sup_h0,1,1
487,t_h1,1,sup_h1,1,1
488,t_h1,1,sup_h1,1,1
489,t_h1,1,sup_h1,1,1
490,EMPTY,0,bot,0,1
491,"t_h0,t_h1",1,sup_h0,1,1
492,EMPTY,0,bot,0,1
493,EMPTY,0,bot,0,1
494,t_h1,1,sup_h1,1,1
495,t_h1,1,sup_h1,1,1
496,t_h1,1,sup_h1,1,1
497,t_h0,1,sup_h0,1,1
498,"t_h0,t_h1",1,sup_h0,1,1
499,EMPTY,0,bot,0,1
500,EMPTY,0,bot,0,1
501,EMPTY,0,bot,0,1
502,EMPTY,0,bot,0,1
503,"t_h0,t_h1",1,sup_h0,1,1
504,"t_h0,t_h1",1,sup_h0,1,1
505,t_h1,1,sup_h1,1,1
506,EMPTY,0,bot,0,1
507,EMPTY,0,bot,0,1
508,EMPTY,0,bot,0,1
509,"t_h0,t_h1",1,sup_h0,1,1
510,t_h1,1,sup_h1,1,1
511,"t_h0,t_h1",1,sup_h0,1,1
512,EMPTY,0,bot,0,1
513,EMPTY,0,bot,0,1
514,t_h0,1,sup_h0,1,1
515,t_h0,1,sup_h0,1,1
516,t_h1,1,sup_h1,1,1
517,"t_h0,t_h1",1,sup_h0,1,1
518,EMPTY,0,bot,0,1
519,EMPTY,0,bot,0,1
520,EMPTY,0,bot,0,1
521,"t_h0,t_h1",1,sup_h0,1,1
522,t_h0,1,sup_h0,1,1
523,"t_h0,t_h1",1,sup_h0,1,1
524,t_h1,1,sup_h1,1,1
525,t_h1,1,sup_h1,1,1
526,t_h1,1,sup_h1,1,1
527,t_h1,1,sup_h1,1,1
528,t_h1,1,sup_h1,1,1
529,t_h1,1,sup_h1,1,1
530,t_h1,1,sup_h1,1,1
531,EMPTY,0,bot,0,1
532,t_h1,1,sup_h1,1,1
533,t_h0,1,sup_h0,1,1
534,t_h0,1,sup_h0,1,1
535,"t_h0,t_h1",1,sup_h0,1,1
536,EMPTY,0,bot,0,1
537,t_h0,1,sup_h0,1,1
538,t_h1,1,sup_h1,1,1
539,t_h0,1,sup_h0,1,1
540,EMPTY,0,bot,0,1
541,"t_h0,t_h1",1,sup_h0,1,1
542,"t_h0,t_h1",1,sup_h0,1,1
543,"t_h0,t_h1",1,sup_h0,1,1
544,"t_h0,t_h1",1,sup_h0,1,1
545,t_h1,1,sup_h1,1,1
546,t_h1,1,sup_h1,1,1
547,t_h0,1,sup_h0,1,1
548,EMPTY,0,bot,0,1
549,t_h1,1,sup_h1,1,1
550,EMPTY,0,bot,0,1
551,EMPTY,0,bot,0,1
552,"t_h0,t_h1",1,sup_h0,1,1
553,t_h1,1,sup_h1,1,1
554,"t_h0,t_h1",1,sup_h0,1,1
555,"t_h0,t_h1",1,sup_h0,1,1
556,t_h1,1,sup_h1,1,1
557,"t_h0,t_h1",1,sup_h0,1,1
558,"t_h0,t_h1",1,sup_h0,1,1
