graph,model,lambda,all_wrong_sure,all_correct_sure,mean_conf,frac_wrong
ring,baseline,,0.0,0.0,0.9986597461491581,0.6
ring,baseline,,0.0,0.0,0.98533120466325,0.45
ring,baseline,,0.0,0.0,0.9984924804262485,0.65
ring,baseline,,0.0,0.0,0.9893403740065543,0.6
ring,baseline,,0.0,0.0,0.9962812530258051,0.7
ring,baseline,,0.0,0.0,0.9957385569922602,0.3
ring,baseline,,0.0,0.0,0.9990006745370893,0.55
ring,baseline,,0.0,0.0,0.999772030105156,0.6
ring,baseline,,0.0,0.0,0.9977975688876406,0.45
ring,baseline,,0.0,0.0,0.9988733200762706,0.35
ring,baseline,,0.0,0.0,0.9478781548680864,0.7
ring,baseline,,0.0,0.0,0.9834013858529032,0.4
ring,baseline,,0.0,0.0,0.9946874826198403,0.7
ring,baseline,,0.0,0.0,0.9551202710163407,0.4
ring,baseline,,0.0,0.0,0.9961976026407531,0.3
ring,baseline,,0.0,0.0,0.9894110348726199,0.6
ring,baseline,,0.0,0.0,0.9940997194249533,0.65
ring,baseline,,0.0,0.0,0.9933115519742074,0.25
ring,baseline,,0.0,0.0,0.9773824118410005,0.65
ring,baseline,,0.0,0.0,0.992839295286522,0.6
ring,baseline,,0.0,0.0,0.9835547018084354,0.5
ring,baseline,,0.0,0.0,0.9956908873686329,0.35
ring,baseline,,0.0,0.0,0.9890786113084478,0.45
ring,baseline,,0.0,0.0,0.9727906756016441,0.3
ring,baseline,,0.0,0.0,0.9680864218332305,0.6
ring,baseline,,0.0,0.0,0.9995223447152745,0.85
ring,baseline,,0.0,0.0,0.9934281538680253,0.85
ring,baseline,,0.0,0.0,0.9791118217037218,0.7
ring,baseline,,0.0,0.0,0.9889220492985892,0.5
ring,baseline,,0.0,0.0,0.9494332952905197,0.55
ring,baseline,,0.0,0.0,0.9994206683968152,0.3
ring,baseline,,0.0,0.0,0.9759780971219637,0.2
ring,baseline,,0.0,0.0,0.9485444691270619,0.75
ring,baseline,,0.0,0.0,0.9999420103651243,0.4
ring,baseline,,0.0,0.0,0.9619636853709632,0.55
ring,baseline,,0.0,0.0,0.9934864280366632,0.35
ring,baseline,,0.0,0.0,0.9835737106340707,0.9
ring,baseline,,0.0,0.0,0.9980587377115073,0.3
ring,baseline,,0.0,0.0,0.9972932960415417,0.7
ring,baseline,,0.0,0.0,0.9986220828642164,0.7
ring,baseline,,0.0,0.0,0.9756435807168019,0.4
ring,baseline,,0.0,0.0,0.9972682770418334,0.55
ring,baseline,,0.0,0.0,0.9980915410928389,0.45
ring,baseline,,0.0,0.0,0.9995791455227134,0.45
ring,baseline,,0.0,0.0,0.9861524014629988,0.6
ring,baseline,,0.0,0.0,0.9955282641421748,0.15
ring,baseline,,0.0,0.0,0.9994952984645679,0.85
ring,baseline,,0.0,0.0,0.9982196268162935,0.55
ring,baseline,,0.0,0.0,0.999993082595239,0.3
ring,baseline,,0.0,0.0,0.9981925346356044,0.35
ring,baseline,,0.0,0.0,0.995948937060392,0.8
ring,baseline,,0.0,0.0,0.9961010289814627,0.75
ring,baseline,,0.0,0.0,0.9985888491569771,0.85
ring,baseline,,0.0,0.0,0.9979411888428789,0.7
ring,baseline,,0.0,0.0,0.9980993043064617,0.4
ring,baseline,,0.0,0.0,0.9969524767920328,0.7
ring,baseline,,0.0,0.0,0.9786438435172145,0.5
ring,baseline,,0.0,0.0,0.9743241062171236,0.7
ring,baseline,,0.0,0.0,0.9985275134282373,0.35
ring,baseline,,0.0,0.0,0.9832291987732222,0.4
ring,baseline,,0.0,0.0,0.9995872232604247,0.65
ring,baseline,,0.0,0.0,0.9765335366509454,0.6
ring,baseline,,0.0,0.0,0.9894344205892383,0.3
ring,baseline,,0.0,0.0,0.9991067248682441,0.55
ring,baseline,,0.0,0.0,0.9947867376164808,0.65
ring,baseline,,0.0,0.0,0.9986161544898378,0.55
ring,baseline,,0.0,0.0,0.9493866739329924,0.75
ring,baseline,,0.0,0.0,0.9493065247833645,0.5
ring,baseline,,0.0,0.0,0.9534514945298097,0.65
ring,baseline,,0.0,0.0,0.9987626598063795,0.3
ring,baseline,,0.0,0.0,0.9659358248759352,0.15
ring,baseline,,0.0,0.0,0.9990125529483846,0.7
ring,baseline,,0.0,0.0,0.9883496075960595,0.2
ring,baseline,,0.0,0.0,0.9808672625082056,0.6
ring,baseline,,0.0,0.0,0.9361632331271739,0.4
ring,baseline,,0.0,0.0,0.9866131547614092,0.3
ring,baseline,,0.0,0.0,0.993189969742599,0.45
ring,baseline,,0.0,0.0,0.9649642349203663,0.8
ring,baseline,,0.0,0.0,0.9942841817089756,0.25
ring,baseline,,0.0,0.0,0.9811060416372145,0.45
ring,baseline,,0.0,0.0,0.9992155154472986,0.65
ring,baseline,,0.0,0.0,0.9717693644179262,0.8
ring,baseline,,0.0,0.0,0.9832517301121311,0.55
ring,baseline,,0.0,0.0,0.9927222321998606,0.75
ring,baseline,,0.0,0.0,0.9973813754673737,0.8
ring,baseline,,0.0,0.0,0.9936500586229634,0.5
ring,baseline,,0.0,0.0,0.9935232937655675,0.45
ring,baseline,,0.0,0.0,0.998065565879336,0.5
ring,baseline,,0.0,0.0,0.9963230275038246,0.65
ring,baseline,,0.0,0.0,0.9992891016665592,0.55
ring,baseline,,0.0,0.0,0.9883978099475297,0.65
ring,baseline,,0.0,0.0,0.9969613713949815,0.75
ring,baseline,,0.0,0.0,0.9977296161605589,0.35
ring,baseline,,0.0,0.0,0.9998575538661679,0.6
ring,baseline,,0.0,0.0,0.9798098720772872,0.6
ring,baseline,,0.0,0.0,0.9990913329833511,0.6
ring,baseline,,0.0,0.0,0.9965211941813518,0.3
ring,baseline,,0.0,0.0,0.9928205542757041,0.7
ring,baseline,,0.0,0.0,0.9999686848881337,0.35
ring,baseline,,0.0,0.0,0.9992422444669249,0.4
ring,baseline,,0.0,0.0,0.999640195530017,0.6
ring,baseline,,0.0,0.0,0.9996430520154979,0.1
ring,baseline,,0.0,0.0,0.9864655134714433,0.6
ring,baseline,,0.0,0.0,0.9967086129856225,0.8
ring,baseline,,0.0,0.0,0.9699248842973682,0.55
ring,baseline,,0.0,0.0,0.9785337742099035,0.2
ring,baseline,,0.0,0.0,0.9803386558104357,0.75
ring,baseline,,0.0,0.0,0.9998301718816786,0.3
ring,baseline,,0.0,0.0,0.9772208415847696,0.75
ring,baseline,,0.0,0.0,0.9847684582876696,0.55
ring,baseline,,0.0,0.0,0.9998179396334621,0.9
ring,baseline,,0.0,0.0,0.9778282526075881,1.0
ring,baseline,,0.0,0.0,0.972880112692813,0.65
ring,baseline,,0.0,0.0,0.9881495605676163,0.6
ring,baseline,,0.0,0.0,0.9987917619653862,0.4
ring,baseline,,0.0,0.0,0.984494030935301,0.45
ring,baseline,,0.0,0.0,0.9754452585541806,0.3
ring,baseline,,0.0,0.0,0.9761536610121346,0.75
ring,baseline,,0.0,0.0,0.9782102268879799,0.75
ring,baseline,,0.0,0.0,0.9944835312442001,0.3
ring,baseline,,0.0,0.0,0.9751222197623838,0.8
ring,baseline,,0.0,0.0,0.9997264029346061,0.75
ring,baseline,,0.0,0.0,0.978548328589798,0.1
ring,baseline,,0.0,0.0,0.9923185494327363,0.5
ring,baseline,,0.0,0.0,0.9952816635734836,0.7
ring,baseline,,0.0,0.0,0.9870831822103217,0.3
ring,baseline,,0.0,0.0,0.9567033825488551,0.65
ring,baseline,,0.0,0.0,0.9991705412346832,0.5
ring,baseline,,0.0,0.0,0.981627552959863,0.4
ring,baseline,,0.0,0.0,0.9997533159233981,0.5
ring,baseline,,0.0,0.0,0.9812051420842639,0.3
ring,baseline,,0.0,0.0,0.9967331383749244,0.5
ring,baseline,,0.0,0.0,0.9783181572408879,0.25
ring,baseline,,0.0,0.0,0.9827735224850797,0.2
ring,baseline,,0.0,0.0,0.9955013653530514,0.7
ring,baseline,,0.0,0.0,0.9703656027345599,0.55
ring,baseline,,0.0,0.0,0.9862690402334595,0.6
ring,baseline,,0.0,0.0,0.9750677629464812,0.5
ring,baseline,,0.0,0.0,0.9961641967996799,0.4
ring,baseline,,0.0,0.0,0.9982050076517002,0.7
ring,baseline,,0.0,0.0,0.977622201617691,0.4
ring,baseline,,0.0,0.0,0.9946994801039825,0.15
ring,baseline,,0.0,0.0,0.9985056078767443,0.7
ring,baseline,,0.0,0.0,0.9987159412062748,0.75
ring,baseline,,0.0,0.0,0.9991502962975103,0.8
ring,baseline,,0.0,0.0,0.988423090608566,0.75
ring,baseline,,0.0,0.0,0.9985173075055066,0.15
ring,baseline,,0.0,0.0,0.9979858827325646,0.5
ring,baseline,,0.0,0.0,0.9983971157761717,0.55
ring,baseline,,0.0,0.0,0.9998080033111615,0.3
ring,baseline,,0.0,0.0,0.9991804192071234,0.25
ring,baseline,,0.0,0.0,0.976551253791395,0.4
ring,baseline,,0.0,0.0,0.9902463789687225,0.5
ring,baseline,,0.0,0.0,0.9959426646632735,0.6
ring,baseline,,0.0,0.0,0.9920077119020266,0.6
ring,baseline,,0.0,0.0,0.9999093959584228,0.65
ring,baseline,,0.0,0.0,0.9788207714452483,0.5
ring,baseline,,0.0,0.0,0.9805302685509213,0.85
ring,baseline,,0.0,0.0,0.999921388966482,0.9
ring,baseline,,0.0,0.0,0.9551650868411548,0.25
ring,baseline,,0.0,0.0,0.9768185855959206,0.65
ring,baseline,,0.0,0.0,0.9751269059728676,0.45
ring,baseline,,0.0,0.0,0.9997068335713655,0.3
ring,baseline,,0.0,0.0,0.9782150609675477,0.25
ring,baseline,,0.0,0.0,0.998119657416081,0.75
ring,baseline,,0.0,0.0,0.9994975423348554,0.75
ring,baseline,,0.0,0.0,0.9999238346143222,0.9
ring,baseline,,0.0,0.0,0.9974911649905674,0.45
ring,baseline,,0.0,0.0,0.9715830930835135,0.6
ring,baseline,,0.0,0.0,0.9962565311379995,0.55
ring,baseline,,0.0,0.0,0.9792616854089008,0.65
ring,baseline,,0.0,0.0,0.9889042053337059,0.6
ring,baseline,,0.0,0.0,0.9799053550613896,0.6
ring,baseline,,0.0,0.0,0.9979488200522916,0.5
ring,baseline,,0.0,0.0,0.9998813493543623,0.75
ring,baseline,,0.0,0.0,0.9901780801745506,0.45
ring,baseline,,0.0,0.0,0.9624969486296167,0.5
ring,baseline,,0.0,0.0,0.9947140186657254,0.8
ring,baseline,,0.0,0.0,0.9966242180632084,0.5
ring,baseline,,0.0,0.0,0.9857574152994554,0.75
ring,baseline,,0.0,0.0,0.9958021291829722,0.65
ring,baseline,,0.0,0.0,0.9989534985695151,0.2
ring,baseline,,0.0,0.0,0.988898623885983,0.65
ring,baseline,,0.0,0.0,0.999699852379907,0.4
ring,baseline,,0.0,0.0,0.9769667252149119,0.45
ring,baseline,,0.0,0.0,0.9936052582423702,0.45
ring,baseline,,0.0,0.0,0.962065187679307,0.55
ring,baseline,,0.0,0.0,0.9722561748770137,0.6
ring,baseline,,0.0,0.0,0.9778432866550464,0.5
ring,baseline,,0.0,0.0,0.9938291636203239,0.7
ring,baseline,,0.0,0.0,0.9998646010320262,0.9
ring,baseline,,0.0,0.0,0.9681739613678557,0.55
ring,baseline,,0.0,0.0,0.9464624695775656,0.45
ring,baseline,,0.0,0.0,0.9813242143265685,0.35
ring,baseline,,0.0,0.0,0.9877695189465834,0.1
ring,baseline,,0.0,0.0,0.9998732690801138,0.2
ring,baseline,,0.0,0.0,0.9984658613615134,0.45
ring,baseline,,0.0,0.0,0.9591431299737021,0.7
ring,baseline,,0.0,1.0,0.9999999999990002,0.0
ring,baseline,,0.0,0.0,0.944458523449249,0.75
ring,baseline,,0.0,0.0,0.992722862148786,0.6
ring,baseline,,0.0,0.0,0.9991674397521427,0.8
ring,baseline,,0.0,0.0,0.9896597953407102,0.45
ring,baseline,,0.0,0.0,0.9990627707493545,0.75
ring,baseline,,0.0,0.0,0.9952425540525874,0.8
ring,baseline,,0.0,0.0,0.9879834512333832,0.15
ring,baseline,,0.0,0.0,0.9971410129616137,0.2
ring,baseline,,0.0,0.0,0.9970158425254887,0.15
ring,baseline,,0.0,0.0,0.9987620611916703,0.2
ring,baseline,,0.0,0.0,0.9994638506249094,0.15
ring,baseline,,0.0,0.0,0.9890515505642197,0.4
ring,baseline,,0.0,0.0,0.9734147113357918,0.45
ring,baseline,,0.0,0.0,0.9811246518709421,0.6
ring,baseline,,0.0,0.0,0.9929658506010168,0.25
